Model, Date, Training Time, Evaluation KFold, Evaluation TestSet, AUGMENT, EPOCH, BATCH_SIZE, SEED, KFOLD_SPLIT, PATIENCE
simple_mlp,2021-08-16 21:02:27.144768,54.659035360000416,0.9987428387006124,0.9653333425521851,9,500,400,42,3,10
simple_mlp,2021-08-16 21:06:30.300951,206.75643864499943,0.999666670958201,0.9559999704360962,5,500,450,42,3,10
simple_mlp,2021-08-16 21:07:54.156012,40.3539694659994,0.9985713561375936,0.9513333439826965,6,500,450,42,3,10
simple_mlp,2021-08-16 21:10:35.685457,115.58893637599977,0.9993928670883179,0.9746666550636292,7,500,450,42,3,10
simple_mlp,2021-08-16 21:12:42.757899,69.65083189100005,0.9981269836425781,0.9613333344459534,8,500,450,42,3,10
simple_mlp,2021-08-16 21:14:41.166477,65.53448207900146,0.9991428454717001,0.9586666822433472,9,500,450,42,3,10
simple_mlp,2021-08-16 21:15:55.873813,34.460960148000595,0.9966190258661906,0.9446666836738586,5,500,500,42,3,10
simple_mlp,2021-08-16 21:17:29.073586,43.517374779998136,0.9968978762626648,0.9633333086967468,6,500,500,42,3,10
simple_mlp,2021-08-16 21:21:59.305013,219.87078894200022,0.9992142717043558,0.9626666903495789,7,500,500,42,3,10
simple_mlp,2021-08-16 21:25:56.010972,181.1257802140026,0.9990793665250143,0.9626666903495789,8,500,500,42,3,10
simple_mlp,2021-08-16 21:27:51.346431,59.763047618998826,0.9992856979370117,0.9660000205039978,9,500,500,42,3,10
simple_mlp,2021-08-16 21:42:53.677581,135.5629692870025,0.9990000128746033,0.9546666741371155,5,500,50,42,3,10
get_cnn_experimental,2021-08-16 21:47:08.479166,157.63046982800006,0.9571426113446554,0.9546666741371155,0,500,50,42,3,10
get_cnn_experimental,2021-08-16 21:58:16.803053,648.7727838430001,0.9838555057843527,0.9620000123977661,1,500,50,42,3,10
get_cnn_experimental,2021-08-16 22:14:16.598463,933.4970675019977,0.9997142950693766,0.968666672706604,2,500,50,42,3,10
get_cnn_experimental,2021-08-16 22:35:51.321397,1264.639672770998,0.9997142354647318,0.9573333263397217,3,500,50,42,3,10
get_cnn_experimental,2021-08-16 22:54:32.314125,1084.0412793389987,0.9997713963190714,0.9606666564941406,4,500,50,42,3,10
get_cnn_experimental,2021-08-16 23:21:07.596946,1553.1093359320002,0.9998571475346884,0.9700000286102295,5,500,50,42,3,10
get_cnn_experimental,2021-08-16 23:49:44.050554,1668.416239246002,0.9996326565742493,0.9646666646003723,6,500,50,42,3,10
get_cnn_experimental,2021-08-17 00:21:15.975123,1839.773354046003,0.9996785720189413,0.9599999785423279,7,500,50,42,3,10
get_cnn_experimental,2021-08-17 00:55:48.895173,2015.625802249997,0.9998412728309631,0.9573333263397217,8,500,50,42,3,10
get_cnn_experimental,2021-08-17 01:31:30.152292,2082.3141061780007,0.999657134215037,0.9639999866485596,9,500,50,42,3,10
get_cnn_experimental,2021-08-17 02:07:07.679944,2070.703717717999,0.9997402628262838,0.9580000042915344,10,500,50,42,3,10
get_cnn_experimental,2021-08-17 02:45:42.900130,2243.3526141159964,0.9998095234235128,0.9593333601951599,11,500,50,42,3,10
get_cnn_experimental,2021-08-17 03:27:09.292927,2413.392794817002,0.9997362693150839,0.9593333601951599,12,500,50,42,3,10
get_cnn_experimental,2021-08-17 04:05:27.051281,2215.9727777579974,0.9998775521914164,0.9593333601951599,13,500,50,42,3,10
get_cnn_experimental,2021-08-17 04:41:50.302348,2096.123439805997,0.9996761878331503,0.9639999866485596,14,500,50,42,3,10
get_cnn_experimental,2021-08-17 05:18:15.571511,2095.0924172939995,0.9997857213020325,0.9586666822433472,15,500,50,42,3,10
get_cnn_experimental,2021-08-17 06:12:31.122200,3160.4087932159964,0.9996974865595499,0.9639999866485596,16,500,50,42,3,10
get_cnn_experimental,2021-08-17 06:48:20.812650,2053.630252764,0.9996349414189657,0.9633333086967468,17,500,50,42,3,10
get_cnn_experimental,2021-08-17 07:35:27.940016,2723.3953309349963,0.9997443556785583,0.9633333086967468,18,500,50,42,3,10
get_cnn_experimental,2021-08-17 08:16:02.443947,2325.018037916001,0.9997857213020325,0.9613333344459534,19,500,50,42,3,10
get_cnn_experimental,2021-08-17 08:19:38.500870,201.152392486998,0.9554295539855957,0.9553333520889282,0,500,100,42,3,10
get_cnn_experimental,2021-08-17 08:41:54.504076,1314.4917816840025,0.9868553876876831,0.9586666822433472,1,500,100,42,3,10
get_cnn_experimental,2021-08-17 09:05:22.353536,1381.219217509999,0.9989524086316427,0.9606666564941406,2,500,100,42,3,10
get_cnn_experimental,2021-08-17 10:32:10.759619,4083.6594942640004,0.9998095234235128,0.9580000042915344,5,500,200,42,3,10
get_cnn_experimental,2021-08-17 11:34:43.944943,3705.9140391119945,0.999551018079122,0.9626666903495789,6,500,200,42,3,10
get_cnn_experimental,2021-08-17 12:34:45.717911,3561.7027352419973,0.9997618993123373,0.9599999785423279,5,500,250,42,3,10
simple_mlp,2021-08-17 12:48:25.139616,16.176443543008645,0.9382857203483581,0.9286666512489319,0,500,100,42,5,10
simple_mlp_experimental,2021-08-17 12:48:42.224226,11.16867104699486,0.9191428542137146,0.9146666526794434,0,500,100,42,5,10
simple_mlp_experimental,2021-08-17 12:49:46.274660,19.426352466005483,0.9431428551673889,0.9273333549499512,0,500,100,42,5,10
simple_mlp_experimental,2021-08-17 12:50:41.746607,31.202454146012315,0.9348571300506592,0.9253333210945129,0,500,100,42,5,10
simple_mlp_experimental,2021-08-17 12:51:33.995930,13.497426094007096,0.940571415424347,0.9206666946411133,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 12:52:06.792294,18.54331658598676,0.9382857203483581,0.9319999814033508,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 12:52:53.214329,31.870300066002528,0.9437142848968506,0.9366666674613953,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 12:55:19.334525,94.61154934800288,0.9437142968177795,0.9486666917800903,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 13:00:03.694446,174.50897147400246,0.9411412874857584,0.9346666932106018,0,500,150,42,3,10
simple_mlp_experimental,2021-08-17 13:01:11.487930,47.0747452719952,0.9442825118700663,0.9386666417121887,0,500,150,42,3,10
simple_mlp_experimental,2021-08-17 13:02:56.123409,84.50742132899177,0.9511428594589233,0.9493333101272583,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 13:05:12.035503,109.2569760960032,0.9411428570747375,0.9453333616256714,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 13:07:06.087562,80.18825884099351,0.9497142910957337,0.9480000138282776,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 13:08:31.649934,57.77852217298641,0.9457142949104309,0.9413333535194397,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 13:11:38.964443,158.55418174900115,0.9471428513526916,0.9459999799728394,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 13:14:04.190929,122.19332686701091,0.950857138633728,0.9539999961853027,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 13:16:04.764107,109.46914009199827,0.9462857127189637,0.9446666836738586,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 13:18:39.230710,138.98273981800594,0.9545714259147644,0.9473333358764648,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 13:21:02.309826,130.90777153499948,0.9431428551673889,0.9399999976158142,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:08:33.620401,180.4497305679979,0.9534285664558411,0.9440000057220459,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:13:47.279563,133.7291303200036,0.9462857127189637,0.9466666579246521,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:15:21.572468,70.89034707398969,0.9425714254379273,0.9393333196640015,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:18:43.031896,158.65452061299584,0.9511428475379944,0.9506666660308838,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:21:59.880705,157.6385723209969,0.9519999980926513,0.9426666498184204,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:24:54.007175,123.58466279199638,0.9257142901420593,0.9326666593551636,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:27:56.259501,114.7166218469938,0.9157142877578736,0.9173333048820496,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:30:49.355481,166.9833907729917,0.9485714197158813,0.9493333101272583,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:38:54.132033,139.95545497300918,0.9542857050895691,0.9553333520889282,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:41:35.078489,129.8056675400003,0.9559999942779541,0.9559999704360962,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:43:57.623184,124.445901168001,0.9514285802841187,0.9573333263397217,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:46:25.989612,137.2571214149939,0.9545714139938355,0.9453333616256714,0,500,150,42,5,10
simple_mlp_experimental,2021-08-17 14:48:46.443871,117.42727472200932,0.9540000081062316,0.9586666822433472,0,500,150,42,5,10
